country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Equatorial Guinea,1424,1399,1855,1956,1849,1902,2958,7721,8211,10591,9269,9046,11720,10477,12505,21113,26834,30141,29473,29598,21716,22402,23988,23247,22773,23456,21365,19494,17796
Eritrea,895,996,1533,1754,2146,2250,2408,2617,2678,2648,2484,2598,2548,2359,2281,2265,2177,2153,1895,1932,1941,2084,1572,1613,1626,1633,1627,1670,1708
Estonia,15020,13965,11494,10529,10535,11443,12174,13292,14075,13934,15180,16115,17204,18442,19785,21972,24054,25555,24619,21516,21539,23313,24661,25678,26334,27001,27915,29320,30379
Eswatini,5927,5914,5978,5855,5593,6092,6391,6468,6256,6458,6286,6598,6430,6513,6864,7662,7665,8015,7917,7825,7819,8317,8663,9288,9331,9362,9457,9396,9359
Ethiopia,651,584,514,558,556,573,626,622,585,599,617,650,640,608,673,734,792,861,928,980,1071,1159,1224,1316,1410,1512,1612,1714,1782
Fiji,5683,5517,5758,5796,5920,6162,6429,6191,6114,6603,6807,6728,7047,7056,7412,7536,7216,7208,7184,7165,7125,7293,7331,7812,8016,8391,8588,8799,9110
Finland,28133,26110,24833,24381,25523,26722,27824,29720,31096,32739,34658,35692,36333,36626,38468,39285,40934,42604,42656,39370,40389,40868,40120,39563,39372,39473,40609,41142,41779
France,29573,29692,30056,29766,30307,30836,31323,32057,33115,34307,35261,35779,35655,35796,36558,37005,37751,38425,38379,37135,37674,38436,38194,38240,38397,38668,38926,39935,40511
Gabon,19368,20053,18489,18512,19119,19311,19454,19913,20875,18165,16125,17023,17194,16870,15552,16335,14626,14715,13543,14200,13960,13814,15005,15519,16906,16336,16339,16213,15794
"Gambia, The",1329,1393,1395,1394,1354,1331,1320,1328,1332,1366,1393,1417,1312,1373,1440,1383,1353,1369,1414,1454,1503,1390,1429,1468,1409,1446,1416,1437,1490
Georgia,7988,6258,3399,2360,2146,2224,2622,3173,3406,3576,3664,3794,4011,4485,4831,5299,5896,6561,6623,6455,6769,7325,8012,8225,8688,8748,8768,9146,9570
Germany,31793,32995,33325,32732,33196,33594,33807,34311,34853,35458,36529,37019,36821,36649,37694,38051,39828,41080,41393,39673,41236,43770,43827,43888,44529,45012,45577,46438,46946
Ghana,1863,1907,1928,1960,1966,1992,2030,2065,2108,2145,2152,2205,2247,2305,2372,2475,2583,2627,2799,2863,2977,3264,3408,3687,3663,3735,3756,3943,4099
Greece,21080,21554,21596,21073,21404,21752,22203,23101,23840,24194,24924,25891,26724,28009,29326,29203,30556,31243,30930,29749,28134,25428,24521,23714,24242,24165,24187,24647,24909
Grenada,6929,7161,7089,6804,6843,6837,7070,7374,8127,8631,8919,8566,8746,9568,9232,11224,10740,11218,11325,10209,10445,10590,10382,10640,10689,11011,11650,12155,12684
Guatemala,4969,5107,5217,5313,5402,5535,5550,5670,5845,5925,6002,6041,6063,6077,6108,6160,6316,6552,6641,6501,6537,6630,6747,6867,6976,7128,7199,7283,7378
Guinea,1272,1270,1292,1346,1368,1394,1416,1442,1451,1486,1486,1498,1576,1470,1471,1451,1491,1570,1564,1511,1559,1604,1676,1714,1775,1805,1971,2201,2211
Guinea-Bissau,1565,1570,1563,1552,1575,1592,1745,1850,1287,1281,1366,1353,1336,1312,1322,1347,1359,1376,1369,1386,1424,1516,1449,1422,1477,1513,1570,1580,1593
Guyana,2097,1865,2299,2798,3199,3409,3958,4108,4151,4202,4332,4391,4425,4481,4631,4612,5120,5427,5462,5652,5793,6085,6398,6622,6846,7032,7294,7443,7615
Haiti,2091,2093,1942,1807,1566,1697,1740,1752,1756,1770,1762,1705,1662,1638,1559,1549,1580,1607,1596,1623,1513,1577,1603,1639,1666,1661,1666,1664,1665
Honduras,3027,2825,2893,3059,2973,3062,3034,3125,3159,3072,3188,3181,3203,3246,3344,3480,3618,3818,3878,3681,3731,3764,3799,3825,3836,3955,4032,4148,4258
"Hong Kong SAR, China",26175,27273,28669,31307,32332,32678,31988,33624,32084,32598,34330,34822,34629,36489,39142,41166,44578,47452,49409,46785,49139,51454,51114,52725,53886,54608,55816,58553,60221
Hungary,16200,14059,13730,14255,14671,14829,14780,15057,15702,16222,17091,17768,18585,19471,20315,21235,22165,21944,22297,21195,21359,21784,21692,22515,23154,23965,25081,25774,27144
